354, ,Černý,Karel, ,12/01/1965,M,07/12/1998,
355,MUDr.,David,Ivan,CSc.,24/09/1952,M,29/06/2000,
356, ,Doktor,Michal, ,02/10/1967,M,02/12/1999,
357,Ing.,Doležal,Vladimír, ,30/04/1965,M,07/12/1998,
358, ,Dostálová,Kateřina, ,20/03/1964,Ž,07/12/1998,
359,Ing.,Drda,Jiří, ,26/05/1947,M,07/12/1998,
360,JUDr.,Dundáčková,Eva, ,11/06/1964,Ž,07/12/1998,
361,Ing.,Fischer,Stanislav,CSc.,30/11/1936,M,07/12/1998,
362, ,Grega,Andrej, ,12/09/1950,M,07/12/1998,
363,Ing.,Grüner,Václav,CSc.,22/09/1944,M,07/12/1998,
364,Mgr.,Hanačíková,Ivana, ,02/11/1972,Ž,07/12/1998,
365, ,Hanuš,Václav, ,07/05/1955,M,07/12/1998,
366,Ing.,Hojda,Pavel, ,02/11/1952,M,13/04/2000,
367,Ing.,Hönig,Pavel, ,09/01/1948,M,07/12/1998,
368,Mgr.,Mihaličková,Monika, ,24/11/1973,Ž,18/09/2001,
369,Ing.,Hort,Petr, ,15/10/1946,M,31/01/2000,
370,Mgr.,Hradil,Vladimír, ,10/08/1947,M,07/12/1998,
371,Ing.,Hrnčíř,Pavel, ,23/03/1961,M,07/12/1998,
372,Ing.,Chytka,Radim, ,06/09/1959,M,07/12/1998,
373,Ing.,Jalůvka,Josef, ,21/10/1955,M,07/12/1998,
374,Ing.,Ježek,Libor, ,13/08/1961,M,07/12/1998,
375, ,Ježek,Josef, ,09/12/1949,M,07/12/1998,
376,Ing.arch.,Jungová,Yvona, ,03/01/1956,Ž,07/12/1998,
377,Ing.,Kalousek,Miroslav, ,17/12/1960,M,07/12/1998,
378,Ing.,Kocourek,Martin, ,23/12/1966,M,07/12/1998,
379,Ing.,Kohlíček,Jaromír,CSc.,23/02/1953,M,13/04/2000,
380,Ing.,Korbel,Ladislav, ,03/05/1954,M,07/12/1998,
381, ,Kořistka,Zdeněk, ,24/07/1957,M,22/06/1999,
382,JUDr.,Koudelka,Zdeněk,Ph.D.,09/05/1969,M,13/04/2000,
383,Ing.,Krajíček,Miroslav, ,04/12/1946,M,31/05/1999,
384,Ing.,Krátký,Libor, ,27/05/1944,M,04/04/2000,
385,Ing.,Krejčí,Josef, ,07/03/1947,M,01/06/2000,
386,JUDr.,Křeček,Stanislav, ,20/05/1938,M,07/12/1998,
387,Ing.,Kučera ml.,Miloslav, ,04/10/1956,M,07/12/1998,
388,Mgr.,Kučera st.,Miloslav, ,04/03/1942,M,07/04/2000,
389,JUDr.,Kühnl,Karel, ,12/09/1954,M,08/12/1998,
390,Ing.Bc.,Kvapil,Tomáš, ,18/12/1955,M,08/12/1998,
391, ,Lang,Pavel, ,06/02/1954,M,08/12/1998,
392,Ing.,Lobkowicz,Jaroslav, ,16/08/1942,M,08/12/1998,
393,Ing.,Máče,Miroslav,CSc.: Ph.D,19/08/1956,M,17/04/2000,
394,PaedDr.,Machatá,Marie, ,09/05/1954,Ž,08/12/1998,
395,PhDr.,Mareš,Petr,CSc.,15/01/1953,M,08/12/1998,
396,Mgr.,Martínek,Radko, ,06/06/1956,M,08/12/1998,
397,PhDr.,Matějů,Petr, ,22/07/1950,M,22/06/1999,
398, ,Mlynář,Vladimír, ,15/01/1966,M,18/05/1996,
399,Ing.,Müllerová,Ludmila, ,27/09/1954,Ž,08/12/1998,
400,Ing.,Nedvědová,Veronika, ,18/09/1962,Ž,08/12/1998,
401, ,Němcová,Miroslava, ,17/11/1952,Ž,08/12/1998,
402,Ing.,Němec,Stanislav, ,03/05/1964,M,08/12/1998,
403,JUDr.,Němec,Pavel, ,20/07/1971,M,08/12/1998,
404,Ing.,Ondruš,František, ,26/12/1953,M,08/12/1998,
405,MUDr.,Ouzký,Miroslav, ,18/08/1958,M,08/12/1998,
406,Ing.,Páralová,Alena, ,11/08/1948,Ž,27/04/2000,
407,Ing.,Patočka,Jiří, ,21/05/1943,M,22/10/1999,12/05/2004
408, ,Paulík,Vladimír, ,15/01/1967,M,08/12/1998,
409, ,Pejřil,František, ,30/06/1947,M,08/12/1998,
410,Ing.,Petr,Břetislav, ,07/01/1937,M,08/12/1998,
411,Mgr.,Pícl,Václav, ,03/12/1959,M,08/12/1998,
412, ,Rozehnal,Aleš, ,27/11/1952,M,08/12/1998,
413,Ing.,Starec,Martin, ,10/04/1962,M,20/04/2000,
414, ,Stránská,Zdeňka, ,01/09/1949,Ž,08/12/1998,
